original,new
Lounais-Pirkanmaan,Lounais-Pirkanmaa
Pohjois-Satakunnan,Pohjois-Satakunta
Kouvolan,Kouvola
Kuopion,Kuopio
Mikkelin,Mikkeli
Oulun,Oulu
Oulunkaaren,Oulunkaari
Keski-Karjalan,Keski-Karjala
Lahden,Lahti
Joensuun,Joensuu
Kokkolan,Kokkola
Jämsän,Jämsä
Savonlinnan,Savonlinna
Suupohjan,Suupohja
Haapavesi-Siikalatvan,Haapavesi-Siikalatva
Koillis-Savon,Koillis-Savo
Ylä-Pirkanmaan,Ylä-Pirkanmaa
Joutsan,Joutsa
Jyväskylän,Jyväskylä
Kyrönmaan,Kyrönmaa
Loimaan,Loimaa
Seinäjoen,Seinäjoki
Rauman,Rauma
