country_code,code,sum
AT,AT1,885671257.00
AT,AT2,618046035.00
AT,AT3,732229494.00
BE,BE1,491962369.41
BE,BE2,288213618.52
BE,BE3,640781087.03
BG,BG3,3525945720.00
BG,BG4,4194849165.00
CY,CY0,841308858.00
CZ,CZ0,0.00
DE,DE1,557297679.00
DE,DE2,2248712375.00
DE,DE3,2757228830.00
DE,DE4,1846154218.00
DE,DE5,468674027.00
DE,DE6,221473301.00
DE,DE7,1257901012.00
DE,DE8,1622143624.00
DE,DE9,1216969620.00
DE,DEA,2893314775.00
DE,DEB,325501737.00
DE,DEC,211641353.00
DE,DED,4475182621.00
DE,DEE,1949479639.00
DE,DEF,887807777.00
DE,DEG,2547239035.00
DK,DK0,491970672.00
EE,EE0,3572872136.00
EL,EL3,3838790838.00
EL,EL4,2708345031.00
EL,EL5,8203306692.00
EL,EL6,10619530213.00
EL,ELZ,47086474.00
ES,ES1,6451103388.00
ES,ES2,2577378873.00
ES,ES3,3732735205.00
ES,ES4,8301642466.00
ES,ES5,7893058914.00
ES,ES6,16584080216.00
ES,ES7,2609421577.00
FI,FI1,2856186692.64
FI,FI2,1655212.36
FR,FR1,865959263.00
FR,FR2,2094974000.00
FR,FR3,1328106062.00
FR,FR4,1003462867.00
FR,FR5,1516403031.00
FR,FR6,1593360915.00
FR,FR7,1302791928.00
FR,FR8,1119681749.00
FR,FR9,3623274925.00
HR,HR0,815612179.00
HU,HU1,17639641422.00
HU,HU2,6641007487.00
HU,HU3,11848414938.00
IE,IE0,0.00
IT,ITC,1985590373.83
IT,ITF,21482138271.30
IT,ITG,6863552369.01
IT,ITH,1628958498.56
IT,ITI,2826624066.98
LT,LT0,6752062223.00
LU,LU0,23622777.00
LV,LV0,4493771267.00
MT,MT0,833518548.00
NL,NL1,231890403.00
NL,NL2,334763570.00
NL,NL3,942910998.00
NL,NL4,148711843.00
PL,PL1,18385090301.70
PL,PL2,14028475437.22
PL,PL3,15234393005.28
PL,PL4,10966200079.44
PL,PL5,7581860083.62
PL,PL6,12013004313.58
PT,PT1,0.00
PT,PT2,0.00
PT,PT3,0.00
RO,RO1,6020001741.00
RO,RO2,5698727191.00
RO,RO3,6303346884.00
RO,RO4,4347748627.00
SE,SE1,126100420.00
SE,SE2,313373462.00
SE,SE3,696025024.00
SI,SI0,4576126865.00
SK,SK0,11213839418.00
UK,UKC,335140134.00
UK,UKD,1049655777.00
UK,UKE,829769497.00
UK,UKF,524010816.00
UK,UKG,927896836.00
UK,UKH,291750100.00
UK,UKI,1078947146.00
UK,UKJ,264120807.00
UK,UKK,642909139.00
UK,UKL,1655354242.00
UK,UKM,623307856.00
UK,UKN,782511161.00
